rank,player,country,result
1,Justin GATLIN,USA,9.82
2,Yohan BLAKE,JAM,9.85
3,Usain BOLT,JAM,9.87
4,Tyson GAY,USA,9.9
5,Churandy MARTINA,NED,9.91
6,Asafa POWELL,JAM,9.94
7,Ryan BAILEY,USA,9.96
8,Richard THOMPSON,TTO,10.02
9,Keston BLEDMAN,TTO,10.04
10,Dwain CHAMBERS,GBR,10.05
11,Adam GEMILI,GBR,10.06
12,Derrick ATKINS,BAH,10.08
13,Justyn WARNER,CAN,10.09
14,Ryota YAMAGATA,JPN,10.1
15,Gerald PHIRI,ZAM,10.11
16,Ben Youssef MEITE,CIV,10.13
17,Daniel BAILEY,ANT,10.16
17,Jimmy VICAUT,FRA,10.16
19,James DASAOLU,GBR,10.18
20,Suwaibou SANNEH,GAM,10.18
21,Antoine ADAMS,SKN,10.27
22,Bingtian SU,CHN,10.28
23,Rondel SORRILLO,TTO,10.31
