rank,player,country,result
1,Ole Einar BJOERNDALEN,NOR,24:33.5
2,Dominik LANDERTINGER,AUT,24:34.8
3,Jaroslav SOUKUP,CZE,24:39.2
4,Anton SHIPULIN,RUS,24:39.9
5,Jean Philippe LEGUELLEC,CAN,24:43.2
6,Martin FOURCADE,FRA,24:45.9
7,Simon EDER,AUT,24:47.2
8,Ondrej MORAVEC,CZE,24:48.1
9,Emil Hegle SVENDSEN,NOR,25:02.8
10,Jakov FAK,SLO,25:06.5
11,Dominik WINDISCH,ITA,25:07.6
12,Lukas HOFER,ITA,25:08.8
13,Nathan SMITH,CAN,25:09.7
14,Jean Guillaume BEATRIX,FRA,25:12.1
15,Simon SCHEMPP,GER,25:16.4
16,Evgeny USTYUGOV,RUS,25:19.1
17,Andrejs RASTORGUJEVS,LAT,25:20.2
18,Fredrik LINDSTROEM,SWE,25:21.0
19,Tim BURKE,USA,25:23.3
20,Christoph SUMANN,AUT,25:25.5
21,Erik LESSER,GER,25:26.7
22,Andriy DERYZEMLYA,UKR,25:29.0
23,Brendan GREEN,CAN,25:31.7
24,Carl Johan BERGMAN,SWE,25:35.9
25,Bjoern FERRY,SWE,25:36.4
26,Klemen BAUER,SLO,25:40.7
27,Evgeniy GARANICHEV,RUS,25:43.0
28,Dmitry MALYSHKO,RUS,25:48.5
29,Vladimir CHEPELIN,BLR,25:49.7
30,Cornel PUCHIANU,ROU,25:50.7
31,Michal SLESINGR,CZE,25:51.7
32,Artem PRYMA,UKR,25:57.6
33,Sergei NOVIKOV,BLR,26:00.8
34,Arnd PEIFFER,GER,26:01.2
35,Lowell BAILEY,USA,26:04.1
36,Simon FOURCADE,FRA,26:04.2
37,Matej KAZAR,SVK,26:04.8
38,Daniel MESOTITSCH,AUT,26:06.6
39,Tarjei BOE,NOR,26:10.1
40,Serafin WIESTNER,SUI,26:10.2
41,Serhiy SEMENOV,UKR,26:10.4
42,Tobias ARWIDSON,SWE,26:11.8
43,Yan SAVITSKIY,KAZ,26:13.0
44,Serguei SEDNEV,UKR,26:16.8
45,Leif NORDGREN,USA,26:17.4
46,Simon DESTHIEUX,FRA,26:18.2
47,Christian DE LORENZI,ITA,26:25.4
48,Tomas KAUKENAS,LTU,26:26.2
49,Krasimir ANEV,BUL,26:28.0
50,Danil STEPTSENKO,EST,26:40.5
51,Janez MARIC,SLO,26:41.3
52,Pavol HURAJT,SVK,26:45.8
53,Indrek TOBRELUTS,EST,26:46.5
54,Kauri KOIV,EST,26:47.1
55,Johannes Thingnes BOE,NOR,26:51.0
56,Evgeny ABRAMENKO,BLR,26:55.0
57,Yuryi LIADOV,BLR,26:55.1
58,Christoph STEPHAN,GER,26:55.4
59,Sergey NAUMIK,KAZ,26:55.5
60,Vladimir ILIEV,BUL,26:55.9
61,Russell CURRIER,USA,26:58.5
62,Ahti TOIVANEN,FIN,26:58.6
63,Benjamin WEGER,SUI,27:00.5
64,Krzysztof PLYWACZYK,POL,27:02.3
65,Tomas HASILLA,SVK,27:05.4
66,Roland LESSING,EST,27:06.3
67,Lee-Steve JACKSON,GBR,27:07.5
68,Martin OTCENAS,SVK,27:07.8
69,Milanko PETROVIC,SRB,27:08.2
70,Michail KLETCHEROV,BUL,27:13.6
71,Hidenori ISA,JPN,27:15.2
72,Peter DOKL,SLO,27:20.1
73,Alexei ALMOUKOV,AUS,27:24.6
74,Scott PERRAS,CAN,27:32.1
75,Tomas KRUPCIK,CZE,27:39.3
76,Ivan ZLATEV,BUL,27:48.5
77,Lukasz SZCZUREK,POL,27:57.2
78,Jarkko KAUPPINEN,FIN,27:57.8
79,Karoly GOMBOS,HUN,28:04.3
80,Anton PANTOV,KAZ,28:05.0
81,Markus WINDISCH,ITA,28:14.4
82,In-Bok LEE,KOR,28:35.9
83,Long REN,CHN,28:53.2
84,Victor LOBO ESCOLAR,ESP,28:53.3
85,Grzegorz GUZIK,POL,29:17.2
86,Rafal LEPEL,POL,29:25.8
87,Dias KENESHEV,KAZ,30:06.8
