QuestionId,AnswerId,VoteTypeId,n,Post Link
"19","71","2","44","19"
"19","71","3","2","19"
"19","531","2","102","19"
"19","4089","2","5","19"
"19","25197","2","19","19"
"19","34239","2","12","19"
"19","39512","2","51","19"
"19","39512","3","1","19"
"19","79104","2","10","19"
"19","85798","2","5","19"
"19","164687","2","8","19"
"19","436447","2","6","19"
"19","436531","2","9","19"
"19","571276","2","5","19"
"19","592025","2","6","19"
"19","622950","2","10","19"
"19","1230060","2","4","19"
"19","1439914","2","5","19"
"19","1947163","2","26","19"
"19","1949194","2","4","19"
"19","2012922","2","9","19"
"19","2350024","2","6","19"
"19","4905303","2","6","19"
"19","7924123","2","13","19"
"145","149","2","5","145"
"145","151","2","12","145"
"145","165","2","1","145"
"145","1716","2","1","145"
"145","2142","2","13","145"
"145","8438622","2","1","145"
"145","10568788","2","2","145"
"145","20032943","2","1","145"
"395","398","2","3","395"
"395","426","2","3","395"
"395","625","2","24","395"
"395","41893","2","11","395"
"395","41906","2","5","395"
"395","47573","2","4","395"
"395","47616","2","3","395"
"395","47638","2","3","395"
"395","49642","2","2","395"
"395","51765","2","1","395"
"395","65271","2","3","395"
"395","82200","2","55","395"
"395","82200","3","1","395"
"395","96195","2","3","395"
"395","123185","2","2","395"
"395","321006","2","6","395"
"395","4855419","2","12","395"
"395","6756478","2","1","395"
"395","9546475","2","1","395"
"588","611","2","5","588"
"588","611","3","1","588"
"588","633","2","12","588"
"588","1415","2","2","588"
"588","1826","2","9","588"
"588","38389","2","6","588"
"588","5884422","2","4","588"
"588","10522246","2","3","588"
"588","14647212","2","1","588"
"601","602","2","18","601"
"601","605","2","7","601"
"601","10139","2","5","601"
"601","9923618","2","1","601"
"601","11211443","2","3","601"
"773","783","2","37","773"
"773","783","3","2","773"
"773","7286","2","222","773"
"773","37252","2","11","773"
"773","37252","3","1","773"
"773","1573195","2","3","773"
"773","1573195","3","1","773"
"773","14443477","2","8","773"
"773","16427674","2","2","773"
"773","20013133","2","1","773"
"1829","1840","2","7","1829"
"1829","1852","2","5","1829"
"1829","1870","2","2","1829"
"1829","1885","","1","1829"
"1836","1843","2","17","1836"
"1836","1849","2","1","1836"
"1836","13910","2","11","1836"
"1836","8451344","2","3","1836"
"2509","2515","2","1","2509"
"2509","2520","2","2","2509"
"2509","2548","2","61","2509"
"2509","31280","2","4","2509"
"2509","50381","2","15","2509"
"2509","50381","3","1","2509"
"2509","54520","2","12","2509"
"2509","905283","2","1","2509"
