,title,year
0,The Shawshank Redemption,1994
1,The Godfather,1972
2,The Godfather: Part II,1974
3,The Dark Knight,2008
4,Pulp Fiction,1994
5,"The Good, the Bad and the Ugly",1966
6,Schindler's List,1993
7,12 Angry Men,1957
8,The Lord of the Rings: The Return of the King,2003
9,Fight Club,1999
10,The Lord of the Rings: The Fellowship of the Ring,2001
11,Star Wars: Episode V - The Empire Strikes Back,1980
12,Inception,2010
13,Forrest Gump,1994
14,One Flew Over the Cuckoo's Nest,1975
15,The Lord of the Rings: The Two Towers,2002
16,Goodfellas,1990
17,The Matrix,1999
18,Star Wars: Episode IV - A New Hope,1977
19,Seven Samurai,1954
20,City of God,2002
21,Se7en,1995
22,The Usual Suspects,1995
23,The Silence of the Lambs,1991
24,It's a Wonderful Life,1946
25,Once Upon a Time in the West,1968
26,Léon: The Professional,1994
27,Life Is Beautiful,1997
28,Casablanca,1942
29,Raiders of the Lost Ark,1981
30,American History X,1998
31,Psycho,1960
32,Rear Window,1954
33,Saving Private Ryan,1998
34,City Lights,1931
35,Spirited Away,2001
36,The Intouchables,2011
37,Modern Times,1936
38,Terminator 2: Judgment Day,1991
39,Memento,2000
40,The Pianist,2002
41,Sunset Blvd.,1950
42,The Green Mile,1999
43,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
44,Apocalypse Now,1979
45,The Departed,2006
46,Gladiator,2000
47,Back to the Future,1985
48,Boyhood,2014
49,Alien,1979
50,The Dark Knight Rises,2012
51,The Prestige,2006
52,The Lives of Others,2006
53,Django Unchained,2012
54,The Great Dictator,1940
55,Guardians of the Galaxy,2014
56,The Lion King,1994
57,The Shining,1980
58,Cinema Paradiso,1988
59,American Beauty,1999
60,Paths of Glory,1957
61,WALL·E,2008
62,North by Northwest,1959
63,Aliens,1986
64,Amélie,2001
65,Citizen Kane,1941
66,Vertigo,1958
67,Toy Story 3,2010
68,M,1931
69,Das Boot,1981
70,Oldboy,2003
71,A Clockwork Orange,1971
72,Princess Mononoke,1997
73,Taxi Driver,1976
74,Star Wars: Episode VI - The Return of the Jedi,1983
75,Double Indemnity,1944
76,Reservoir Dogs,1992
77,Once Upon a Time in America,1984
78,Grave of the Fireflies,1988
79,Requiem for a Dream,2000
80,Braveheart,1995
81,To Kill a Mockingbird,1962
82,Lawrence of Arabia,1962
83,Eternal Sunshine of the Spotless Mind,2004
84,Witness for the Prosecution,1957
85,Full Metal Jacket,1987
86,Singin' in the Rain,1952
87,The Sting,1973
88,Bicycle Thieves,1948
89,Amadeus,1984
90,Monty Python and the Holy Grail,1975
