,Pos,2013,Title,Director,Year,Country,Mins
0,1,1,Citizen Kane,"Welles, Orson",1941,USA,119
1,2,2,Vertigo,"Hitchcock, Alfred",1958,USA,128
2,3,3,2001: A Space Odyssey,"Kubrick, Stanley",1968,UK,139
3,4,5,Tokyo Story,"Ozu, Yasujiro",1953,Japan,134
4,5,4,"Rules of the Game, The","Renoir, Jean",1939,France,113
5,6,6,8 1/2,"Fellini, Federico",1963,Italy,135
6,7,8,"Godfather, The","Coppola, Francis Ford",1972,USA,175
7,8,7,Sunrise,"Murnau, F.W.",1927,USA,110
8,9,9,"Searchers, The","Ford, John",1956,USA,119
9,10,10,Seven Samurai,"Kurosawa, Akira",1954,Japan,200
10,11,11,Battleship Potemkin,"Eisenstein, Sergei",1925,USSR,65
11,12,12,Apocalypse Now,"Coppola, Francis Ford",1979,USA,150
12,13,13,Bicycle Thieves,"De Sica, Vittorio",1948,Italy,90
13,14,15,Breathless,"Godard, Jean-Luc",1960,France,89
14,15,14,"Passion of Joan of Arc, The","Dreyer, Carl Theodor",1928,France,110
15,16,16,Singin' in the Rain,Donen & Kelly,1952,USA,102
16,17,17,"Atalante, L'","Vigo, Jean",1934,France,89
17,18,18,Rashomon,"Kurosawa, Akira",1950,Japan,88
18,19,19,Taxi Driver,"Scorsese, Martin",1976,USA,113
19,20,21,"Godfather Part II, The","Coppola, Francis Ford",1974,USA,200
20,21,20,Raging Bull,"Scorsese, Martin",1980,USA,128
21,22,23,Lawrence of Arabia,"Lean, David",1962,UK,216
22,23,26,"400 Blows, The","Truffaut, Francois",1959,France,99
23,24,24,Persona,"Bergman, Ingmar",1966,Sweden,81
24,25,22,Andrei Rublev,"Tarkovsky, Andrei",1966,USSR,185
25,26,27,Mirror,"Tarkovsky, Andrei",1974,USSR,108
26,27,25,"Man with a Movie Camera, The","Vertov, Dziga",1929,USSR,80
27,28,31,"Avventura, L'","Antonioni, Michelangelo",1960,Italy,145
28,29,29,City Lights,"Chaplin, Charles",1931,USA,86
29,30,30,Psycho,"Hitchcock, Alfred",1960,USA,109
30,31,32,"Dolce vita, La","Fellini, Federico",1960,Italy,175
31,32,35,Some Like it Hot,"Wilder, Billy",1959,USA,119
32,33,28,Ordet,"Dreyer, Carl Theodor",1955,Denmark,125
33,34,34,Touch of Evil,"Welles, Orson",1958,USA,108
34,35,33,Au hasard Balthazar,"Bresson, Robert",1966,France,95
35,36,36,"General, The",Keaton & Bruckman,1926,USA,74
36,37,38,Casablanca,"Curtiz, Michael",1942,USA,102
37,38,37,Contempt,"Godard, Jean-Luc",1963,France,103
38,39,39,"Grande illusion, La","Renoir, Jean",1937,France,117
39,40,44,Sunset Blvd.,"Wilder, Billy",1950,USA,110
40,41,49,Metropolis,"Lang, Fritz",1927,Germany,153
41,42,43,Modern Times,"Chaplin, Charles",1936,USA,89
42,43,41,"Third Man, The","Reed, Carol",1949,UK,104
43,44,40,"Night of the Hunter, The","Laughton, Charles",1955,USA,93
44,45,45,Blade Runner,"Scott, Ridley",1982,USA,118
45,46,42,Rear Window,"Hitchcock, Alfred",1954,USA,112
46,47,55,Playtime,"Tati, Jacques",1967,France,108
47,48,47,Ugetsu monogatari,"Mizoguchi, Kenji",1953,Japan,96
48,49,46,M,"Lang, Fritz",1931,Germany,99
49,50,50,Chinatown,"Polanski, Roman",1974,USA,131
50,51,51,Pather Panchali,"Ray, Satyajit",1955,India,112
51,52,48,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Kubrick, Stanley",1964,UK,93
52,53,52,Barry Lyndon,"Kubrick, Stanley",1975,UK,183
53,54,53,"Enfants du paradis, Les","Carne, Marcel",1945,France,195
54,55,54,Stalker,"Tarkovsky, Andrei",1979,USSR,160
55,56,57,Fanny and Alexander,"Bergman, Ingmar",1982,Sweden,189
56,57,56,"Battle of Algiers, The","Pontecorvo, Gillo",1965,Algeria,123
57,58,59,In the Mood for Love,Wong Kar-wai,2000,Hong Kong,97
58,59,58,Late Spring,"Ozu, Yasujiro",1949,Japan,108
59,60,62,Once Upon a Time in the West,"Leone, Sergio",1968,Italy,165
60,61,71,"Apartment, The","Wilder, Billy",1960,USA,125
61,62,60,North by Northwest,"Hitchcock, Alfred",1959,USA,136
62,63,63,"Gold Rush, The","Chaplin, Charles",1925,USA,82
63,64,61,Shoah,"Lanzmann, Claude",1985,France,566
64,65,65,"Leopard, The","Visconti, Luchino",1963,Italy,205
65,66,68,"Strada, La","Fellini, Federico",1954,Italy,115
66,67,64,"Wild Bunch, The","Peckinpah, Sam",1969,USA,144
67,68,66,Wild Strawberries,"Bergman, Ingmar",1957,Sweden,90
68,69,67,Pierrot le fou,"Godard, Jean-Luc",1965,France,110
69,70,74,"Seventh Seal, The","Bergman, Ingmar",1957,Sweden,96
70,71,73,Pickpocket,"Bresson, Robert",1959,France,75
71,72,70,Gertrud,"Dreyer, Carl Theodor",1964,Denmark,116
72,73,69,Mulholland Dr.,"Lynch, David",2001,France,147
73,74,75,Rio Bravo,"Hawks, Howard",1959,USA,141
74,75,72,Voyage in Italy,"Rossellini, Roberto",1953,Italy,97
75,76,77,Viridiana,"Bunuel, Luis",1961,Spain,90
76,77,85,Amarcord,"Fellini, Federico",1973,Italy,127
77,78,79,Close-Up,"Kiarostami, Abbas",1990,Iran,98
78,79,76,"Conformist, The","Bertolucci, Bernardo",1970,Italy,107
79,80,78,Blue Velvet,"Lynch, David",1986,USA,120
80,81,83,Nashville,"Altman, Robert",1975,USA,159
81,82,84,Jules et Jim,"Truffaut, Francois",1961,France,104
82,83,80,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Akerman, Chantal",1975,Belgium,201
83,84,81,"Magnificent Ambersons, The","Welles, Orson",1942,USA,88
84,85,86,"Man Escaped, A","Bresson, Robert",1956,France,102
85,86,82,Sansho the Bailiff,"Mizoguchi, Kenji",1954,Japan,125
86,87,87,Aguirre: The Wrath of God,"Herzog, Werner",1972,West Germany,94
87,88,88,Intolerance,"Griffith, D.W.",1916,USA,178
88,89,89,It's a Wonderful Life,"Capra, Frank",1946,USA,129
89,90,90,Satantango,"Tarr, Bela",1994,Hungary,450
90,91,92,GoodFellas,"Scorsese, Martin",1990,USA,146
