PostTypeId,OwnerUserId,User Link,n
"1","77758","77758","25"
"2","77758","77758","30"
"1","77762","77762","67"
"2","77762","77762","1"
"1","77764","77764","33"
"2","77764","77764","122"
"4","77764","77764","1"
"1","77775","77775","85"
"2","77775","77775","11"
"1","77776","77776","1"
"2","77776","77776","2"
"1","77777","77777","7"
"2","77777","77777","16"
"1","77778","77778","2"
"2","77778","77778","1"
"1","77779","77779","77"
"2","77779","77779","950"
"4","77779","77779","1"
"5","77779","77779","4"
"1","77782","77782","15"
"2","77782","77782","44"
"1","77784","77784","26"
"2","77784","77784","49"
"1","77787","77787","1"
"2","77787","77787","36"
"1","77789","77789","2"
"1","77804","77804","52"
"2","77804","77804","123"
"2","77806","77806","9"
"1","77813","77813","1"
"2","77813","77813","1"
"1","77814","77814","38"
"2","77814","77814","155"
"1","77821","77821","3"
"2","77821","77821","2"
"2","77824","77824","21"
"1","77826","77826","6"
"1","77827","77827","21"
"2","77827","77827","5"
"1","77830","77830","27"
"2","77830","77830","10"
"1","77835","77835","2"
"1","77838","77838","1"
"2","77838","77838","27"
"1","77840","77840","33"
"2","77840","77840","3"
"1","77843","77843","1"
"2","77843","77843","12"
"1","77846","77846","2"
"2","77846","77846","9"
"1","77850","77850","10"
"2","77850","77850","45"
"2","77859","77859","22"
"1","77861","77861","2"
"2","77861","77861","7"
"1","77864","77864","4"
"2","77864","77864","3"
"1","77867","77867","20"
"2","77867","77867","75"
"1","77868","77868","2"
"2","77868","77868","20"
"1","77875","77875","6"
"2","77875","77875","12"
"1","77881","77881","9"
"2","77881","77881","9"
"1","77884","77884","133"
"2","77884","77884","28"
"4","77884","77884","1"
"5","77884","77884","1"
"1","77887","77887","25"
"2","77887","77887","72"
"4","77887","77887","2"
"5","77887","77887","1"
"1","77893","77893","2"
"2","77893","77893","2"
"2","77908","77908","1"
"1","77909","77909","2"
"2","77909","77909","2"
"1","77912","77912","15"
"2","77912","77912","21"
"1","77914","77914","28"
"2","77914","77914","235"
"1","77915","77915","8"
"2","77915","77915","65"
"1","77917","77917","5"
"2","77917","77917","4"
"1","77918","77918","2"
"2","77918","77918","32"
"1","77922","77922","52"
"2","77922","77922","36"
"1","77923","77923","8"
"2","77923","77923","4"
"1","77926","77926","2"
"2","77926","77926","50"
"1","77927","77927","4"
"2","77927","77927","1"
"1","77935","77935","4"
"2","77936","77936","1"
"1","77939","77939","19"
"2","77939","77939","206"
"1","77942","77942","5"
"1","77943","77943","6"
"2","77943","77943","1"
"1","77946","77946","5"
"2","77946","77946","19"
"1","77947","77947","2"
"2","77947","77947","2"
"1","77951","77951","1"
"2","77951","77951","4"
"1","77965","77965","5"
"2","77965","77965","5"
"2","77970","77970","5"
"1","77971","77971","4"
"2","77971","77971","4"
"1","77972","77972","45"
"2","77972","77972","22"
"2","77973","77973","5"
"1","77977","77977","1"
"2","77978","77978","3"
"1","77984","77984","2"
"2","77984","77984","3"
"1","77991","77991","44"
"2","77991","77991","1"
"1","77993","77993","61"
"1","77994","77994","11"
"1","77996","77996","17"
"2","77996","77996","32"
"1","78000","78000","163"
"2","78000","78000","30"
"1","78001","78001","3"
"2","78001","78001","53"
"1","78003","78003","6"
"2","78003","78003","4"
"1","78004","78004","2"
"1","78006","78006","1"
"2","78006","78006","29"
"1","78011","78011","2"
"2","78011","78011","35"
"2","78014","78014","23"
"4","78014","78014","1"
"5","78014","78014","1"
"1","78016","78016","1"
"1","78019","78019","30"
"2","78019","78019","8"
"1","78022","78022","3"
"2","78022","78022","9"
"4","78022","78022","3"
"5","78022","78022","2"
"1","78025","78025","8"
"2","78025","78025","11"
"1","78026","78026","9"
"2","78026","78026","2"
"1","78032","78032","3"
"2","78032","78032","27"
"1","78038","78038","4"
"2","78038","78038","4"
"2","78043","78043","107"
"1","78048","78048","2"
"2","78048","78048","6"
"1","78053","78053","5"
"2","78053","78053","32"
"1","78054","78054","42"
"2","78054","78054","73"
"1","78060","78060","5"
"2","78060","78060","2"
"2","78061","78061","2"
"1","78065","78065","52"
"2","78065","78065","5"
"2","78067","78067","14"
"2","78068","78068","3"
"1","78069","78069","23"
"2","78069","78069","14"
"1","78071","78071","3"
"2","78071","78071","3"
"1","78077","78077","31"
"2","78077","78077","26"
"2","78084","78084","2"
"2","78086","78086","2"
"2","78087","78087","2"
"1","78093","78093","55"
"2","78093","78093","109"
"1","78097","78097","9"
"1","78099","78099","26"
"2","78099","78099","22"
"1","78101","78101","16"
"2","78101","78101","146"
"4","78101","78101","2"
"5","78101","78101","2"
"1","78104","78104","8"
"2","78104","78104","4"
"1","78105","78105","6"
"1","78110","78110","5"
"2","78110","78110","21"
"2","78118","78118","3"
"1","78134","78134","22"
"2","78134","78134","5"
"1","78140","78140","1"
"2","78140","78140","2"
"1","78141","78141","2"
"1","78145","78145","16"
"2","78145","78145","6"
"1","78158","78158","1"
"2","78158","78158","1"
"1","78162","78162","98"
"2","78162","78162","404"
"1","78168","78168","3"
"2","78168","78168","27"
"2","78171","78171","7"
"1","78175","78175","6"
"2","78175","78175","4"
"2","78179","78179","12"
"1","78181","78181","45"
"2","78181","78181","23"
"1","78182","78182","409"
"2","78182","78182","760"
"1","78186","78186","1"
"2","78186","78186","7"
"1","78187","78187","43"
"2","78187","78187","9"
"1","78193","78193","22"
"2","78193","78193","3"
"1","78197","78197","9"
"2","78197","78197","4"
"1","78199","78199","45"
"2","78199","78199","24"
"1","78202","78202","26"
"2","78202","78202","25"
"1","78203","78203","1"
"2","78203","78203","3"
"1","78205","78205","2"
"2","78205","78205","1"
"1","78212","78212","7"
"2","78212","78212","45"
"1","78214","78214","1"
"1","78215","78215","1"
"1","78216","78216","30"
"2","78216","78216","42"
"1","78217","78217","1"
"2","78217","78217","2"
"1","78224","78224","2"
"1","78234","78234","23"
"2","78234","78234","25"
"1","78238","78238","2"
"2","78238","78238","1"
"1","78241","78241","1"
"2","78241","78241","8"
"1","78242","78242","6"
"2","78242","78242","2"
"2","78243","78243","4"
"1","78244","78244","16"
"2","78244","78244","128"
"1","78246","78246","5"
"2","78246","78246","202"
"1","78247","78247","2"
"2","78247","78247","1"
