Id,UpVotes,DownVotes
"498048","242","16"
"498049","0","0"
"498050","0","0"
"498051","1","0"
"498052","0","0"
"498055","0","0"
"498056","0","0"
"498059","0","0"
"498064","45","0"
"498066","0","0"
"498067","83","4"
"498068","0","0"
"498069","0","0"
"498072","0","0"
"498073","0","0"
"498075","0","0"
"498079","200","0"
"498080","4","0"
"498083","0","0"
"498084","6","0"
"498085","0","0"
"498087","117","0"
"498089","1","0"
"498090","177","20"
"498091","70","0"
"498093","0","0"
"498095","16","0"
"498096","5","0"
"498097","0","0"
"498099","0","0"
"498100","8","0"
"498101","0","0"
"498102","0","0"
"498104","0","0"
"498105","0","0"
"498109","3","3"
"498111","5","0"
"498112","81","0"
"498114","11","0"
"498115","0","0"
"498118","0","0"
"498123","5","1"
"498124","0","0"
"498125","10","1"
"498126","0","0"
"498127","0","0"
"498128","13","0"
"498130","0","0"
"498133","5","0"
"498135","0","0"
"498137","43","0"
"498138","35","0"
"498139","0","0"
"498140","0","0"
"498142","0","0"
"498144","0","0"
"498146","0","0"
"498148","11","0"
"501696","1082","1555"
"501697","0","0"
"501698","0","0"
"501699","0","0"
"501700","0","0"
"501701","0","0"
"501702","0","0"
"501703","412","0"
"501704","0","0"
"501706","0","0"
"501707","10","0"
"501708","25","0"
"501710","259","8"
"501711","0","0"
"501712","4","0"
"501717","61","2"
"501719","0","0"
"501723","0","0"
"501724","0","0"
"501727","0","0"
"501728","0","0"
"501729","91","0"
"501732","0","0"
"501733","0","0"
"501734","0","0"
"501735","0","0"
"501736","0","0"
"501737","4","0"
"501739","383","13"
"501741","0","0"
"501743","12","0"
"501745","0","0"
"501746","240","2"
"501747","0","0"
"501750","0","0"
"501751","31","0"
"501752","0","0"
"501753","0","0"
"501754","431","6"
"501755","0","0"
"501758","29","0"
"501759","20","1"
"501760","0","0"
"501762","0","0"
"501763","0","0"
"501764","17","0"
"501765","150","21"
"501766","3","0"
"501767","44","1"
"501768","0","0"
"501769","4","0"
"501771","429","1"
"501772","0","0"
"501775","0","0"
"501776","0","0"
"501777","0","0"
"501778","23","2"
"501781","5","0"
"501783","0","0"
"501785","10","0"
"136","521","90"
"137","339","43"
"139","333","3"
"140","73","7"
"142","106","3"
"143","266","3"
"144","102","9"
"145","558","6"
"146","604","14"
"147","277","23"
"148","323","26"
"149","915","28"
"150","611","11"
"151","542","0"
"152","22","7"
"153","61","0"
"154","41","63"
"155","338","2"
"1980","558","30"
"1981","0","0"
"1982","142","44"
"1983","3","0"
"1984","22","0"
"1985","108","0"
"1987","266","0"
"1988","0","0"
"1989","55","5"
"1990","73","0"
"1992","123","5"
"1993","0","0"
"1994","66","9"
"1996","83","24"
"1999","5","0"
"2000","6","0"
"2001","2593","1"
"2005","9","0"
"2006","0","0"
"2007","7","0"
"2009","1210","46"
"2010","228","16"
"2011","36","0"
"2012","71","7"
"2013","4","0"
"8136","217","61"
"8137","2141","7"
"8140","0","0"
"8143","37","2"
"8146","49","1"
"8147","3","0"
"8151","836","15"
"8152","880","13"
"8154","12","0"
"8155","1918","196"
"8157","60","19"
"8159","19","4"
"8161","503","6"
"8162","11","0"
