congress,terrorism,terrorist,total,t_total
93,5.0,23.0,2634484.0,28.0
94,14.0,7.0,2474214.0,21.0
95,50.0,41.0,2392341.0,91.0
96,24.0,5.0,1563048.0,29.0
97,15.0,9.0,1421073.0,24.0
98,21.0,12.0,1363236.0,33.0
99,91.0,18.0,1334160.0,109.0
100,24.0,4.0,1367922.0,28.0
101,34.0,11.0,1399275.0,45.0
102,34.0,34.0,1499094.0,68.0
103,21.0,36.0,1243482.0,57.0
104,59.0,24.0,1054665.0,83.0
105,26.0,10.0,1278237.0,36.0
106,19.0,19.0,1564488.0,38.0
107,255.0,393.0,1506867.0,648.0
108,215.0,169.0,1592018.0,384.0
109,161.0,159.0,1749442.0,320.0
110,134.0,132.0,1980774.0,266.0
111,115.0,96.0,1919424.0,211.0
112,74.0,79.0,1591602.0,153.0
